"货品名称","货品编号","店铺","省份","货品数量","货品价格"
"XML-Parts-pcl-1-50米古典色",="101020042","小马良样品","北京","1","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良京东旗舰店","北京","2","471.1916"
"XML-Parts-pcl-1-16色48米",="101020001","小马良京东旗舰店","北京","2","82.8084"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良京东旗舰店","北京","2","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒蓝G",="101010025","小马良京东旗舰店","辽宁省","1","234.4096"
"XML-Parts-pcl-1-16色48米",="101020001","小马良京东旗舰店","辽宁省","1","43.5904"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良京东旗舰店","辽宁省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良京东旗舰店","山东省","1","258.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良京东旗舰店","山东省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良京东旗舰店","甘肃省","1","165.7136"
"XML-Parts-pcl-1-16色48米",="101020001","小马良京东旗舰店","甘肃省","1","42.2864"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良京东旗舰店","新疆维吾尔自治区","1","242.8416"
"XML-Parts-pcl-1-16色48米",="101020001","小马良京东旗舰店","新疆维吾尔自治区","1","45.1584"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良京东旗舰店","新疆维吾尔自治区","1","0.0000"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良1688店","北京","2","243.7596"
"XML-Parts-pcl-1-16色48米",="101020001","小马良1688店","北京","2","62.2404"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良1688店","河北省","1","123.0000"
"XML-3DPEN-Magic-1-2020V1礼盒蓝G",="101010025","小马良1688店","上海","1","170.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良1688店","上海","1","0.0000"
"XML-3DPEN-Magic-1-2020v1标准蓝",="101010008","小马良1688店","湖南省","1","123.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良快手小店","辽宁省","1","165.7136"
"XML-Parts-pcl-1-16色48米",="101020001","小马良快手小店","辽宁省","1","42.2864"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良快手小店","辽宁省","1","0.0000"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良领昂专卖店","辽宁省","1","158.0000"
"XML-3DPEN-Magic-1-2020v1礼盒粉",="101010012","小马良领昂专卖店","新疆维吾尔自治区","1","217.5456"
"XML-Parts-pcl-1-16色48米",="101020001","小马良领昂专卖店","新疆维吾尔自治区","1","40.4544"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良领昂专卖店","新疆维吾尔自治区","1","0.0000"
"合计","货品编号","店铺","省份","266","18966"
